Seq,AOU,English_Common_Name,French_Common_Name,Latin_Name,ORDER,Family,Genus,Species,Latin_Name_clean,Latin_Name_synonym,Latin_Name_synonym2,Type,AOU1,,,,
645,4270,Blue-throated Hummingbird,Colibri à gorge bleue,Lampornis clemenciae,Apodiformes,Trochilidae,Lampornis,clemenciae,Lampornis clemenciae,,,species,,,,,
651,4370,Lucifer Hummingbird,Colibri lucifer,Calothorax lucifer,Apodiformes,Trochilidae,Calothorax,lucifer,Calothorax lucifer,,,species,,,,,
653,4280,Ruby-throated Hummingbird,Colibri à gorge rubis,Archilochus colubris,Apodiformes,Trochilidae,Archilochus,colubris,Archilochus colubris,,,species,,,,,
654,4290,Black-chinned Hummingbird,Colibri à gorge noire,Archilochus alexandri,Apodiformes,Trochilidae,Archilochus,alexandri,Archilochus alexandri,,,species,,,,,
655,4295,unid. Ruby-throated / Black-chinned Hummingbird,unid Colibri à gorge rubis / Colibri à gorge noi,re Archilochus colubris / alexandri,Apodiformes,Trochilidae,Archilochus,colubris / alexandri,,,,species,,,,,
656,4310,Anna's Hummingbird,Colibri d'Anna,Calypte anna,Apodiformes,Trochilidae,Calypte,anna,Calypte anna,,,species,,,,,
657,4300,Costa's Hummingbird,Colibri de Costa,Calypte costae,Apodiformes,Trochilidae,Calypte,costae,Calypte costae,,,species,,,,,
660,4320,Broad-tailed Hummingbird,Colibri à queue large,Selasphorus platycercus,Apodiformes,Trochilidae,Selasphorus,platycercus,Selasphorus platycercus,,,species,,,,,
661,4330,Rufous Hummingbird,Colibri roux,Selasphorus rufus,Apodiformes,Trochilidae,Selasphorus,rufus,Selasphorus rufus,,,species,,,,,
662,4340,Allen's Hummingbird,Colibri d'Allen,Selasphorus sasin,Apodiformes,Trochilidae,Selasphorus,sasin,Selasphorus sasin,,,species,,,,,
663,4335,unid. Rufous Hummingbird / Allen's Hummingbird,unid Colibri roux / Colibri d'Allen,Selasphorus rufus / sasin,Apodiformes,Trochilidae,Selasphorus,rufus / sasin,,,,species,,,,,
664,4402,unid. Hummingbird,unid Colibri sp.,Trochilid sp.,Apodiformes,Trochilidae,Trochilid,sp.,Trochilid sp.,,,species,,,,,
665,4360,Calliope Hummingbird,Colibri calliope,Selasphorus calliope,Apodiformes,Trochilidae,Selasphorus,calliope,Selasphorus calliope,Stellula calliope,,species,,,,,
670,4410,Broad-billed Hummingbird,Colibri circé,Cynanthus latirostris,Apodiformes,Trochilidae,Cynanthus,latirostris,Cynanthus latirostris,,,species,,,,,
686,4390,Buff-bellied Hummingbird,Ariane du Yucatan,Amazilia yucatanensis,Apodiformes,Trochilidae,Amazilia,yucatanensis,Amazilia yucatanensis,,,species,,,,,
688,4391,Violet-crowned Hummingbird,Ariane à couronne violette,Amazilia violiceps,Apodiformes,Trochilidae,Amazilia,violiceps,Amazilia violiceps,,,species,,,,,
697,3890,Elegant Trogon,Trogon élégant,Trogon elegans,Trogoniformes,Trogonidae,Trogon,elegans,Trogon elegans,,,species,,,,,
709,3901,Ringed Kingfisher,Martin-pêcheur à ventre roux,Megaceryle torquata,Coraciiformes,Alcedinidae,Megaceryle,torquata,Megaceryle torquata,,,species,,,,,
710,3900,Belted Kingfisher,Martin-pêcheur d'Amérique,Megaceryle alcyon,Coraciiformes,Alcedinidae,Megaceryle,alcyon,Megaceryle alcyon,,,species,,,,,
712,3910,Green Kingfisher,Martin-pêcheur vert,Chloroceryle americana,Coraciiformes,Alcedinidae,Chloroceryle,americana,Chloroceryle americana,,,species,,,,,
721,4080,Lewis's Woodpecker,Pic de Lewis,Melanerpes lewis,Piciformes,Picidae,Melanerpes,lewis,Melanerpes lewis,,,species,,,,,
722,4060,Red-headed Woodpecker,Pic à tête rouge,Melanerpes erythrocephalus,Piciformes,Picidae,Melanerpes,erythrocephalus,Melanerpes erythrocephalus,,,species,,,,,
723,4070,Acorn Woodpecker,Pic glandivore,Melanerpes formicivorus,Piciformes,Picidae,Melanerpes,formicivorus,Melanerpes formicivorus,,,species,,,,,
728,4110,Gila Woodpecker,Pic des saguaros,Melanerpes uropygialis,Piciformes,Picidae,Melanerpes,uropygialis,Melanerpes uropygialis,,,species,,,,,
729,4100,Golden-fronted Woodpecker,Pic à front doré,Melanerpes aurifrons,Piciformes,Picidae,Melanerpes,aurifrons,Melanerpes aurifrons,,,species,,,,,
730,4090,Red-bellied Woodpecker,Pic à ventre roux,Melanerpes carolinus,Piciformes,Picidae,Melanerpes,carolinus,Melanerpes carolinus,,,species,,,,,
731,4022,unid. Sapsucker,unid Sphyrapicus sp.,Sphyrapicus sp.,Piciformes,Picidae,Sphyrapicus,sp.,,,,species,,,,,
732,4040,Williamson's Sapsucker,Pic de Williamson,Sphyrapicus thyroideus,Piciformes,Picidae,Sphyrapicus,thyroideus,Sphyrapicus thyroideus,,,species,,,,,
733,4020,Yellow-bellied Sapsucker,Pic maculé,Sphyrapicus varius,Piciformes,Picidae,Sphyrapicus,varius,Sphyrapicus varius,,,species,,,,,
734,4021,Red-naped Sapsucker,Pic à nuque rouge,Sphyrapicus nuchalis,Piciformes,Picidae,Sphyrapicus,nuchalis,Sphyrapicus nuchalis,,,species,,,,,
735,4030,Red-breasted Sapsucker,Pic à poitrine rouge,Sphyrapicus ruber,Piciformes,Picidae,Sphyrapicus,ruber,Sphyrapicus ruber,,,species,,,,,
738,3960,Ladder-backed Woodpecker,Pic arlequin,Picoides scalaris,Piciformes,Picidae,Picoides,scalaris,Picoides scalaris,,,species,,,,,
739,3970,Nuttall's Woodpecker,Pic de Nuttall,Picoides nuttallii,Piciformes,Picidae,Picoides,nuttallii,Picoides nuttallii,,,species,,,,,
740,3940,Downy Woodpecker,Pic mineur,Picoides pubescens,Piciformes,Picidae,Picoides,pubescens,Picoides pubescens,,,species,,,,,
742,3930,Hairy Woodpecker,Pic chevelu,Picoides villosus,Piciformes,Picidae,Picoides,villosus,Picoides villosus,,,species,,,,,
743,3975,Arizona Woodpecker,Pic d'Arizona,Picoides arizonae,Piciformes,Picidae,Picoides,arizonae,Picoides arizonae,,,species,,,,,
745,3950,Red-cockaded Woodpecker,Pic à face blanche,Picoides borealis,Piciformes,Picidae,Picoides,borealis,Picoides borealis,,,species,,,,,
746,3990,White-headed Woodpecker,Pic à tête blanche,Picoides albolarvatus,Piciformes,Picidae,Picoides,albolarvatus,Picoides albolarvatus,,,species,,,,,
747,4010,American Three-toed Woodpecker,Pic à dos rayé,Picoides dorsalis,Piciformes,Picidae,Picoides,dorsalis,Picoides dorsalis,,,species,,,,,
748,4000,Black-backed Woodpecker,Pic à dos noir,Picoides arcticus,Piciformes,Picidae,Picoides,arcticus,Picoides arcticus,,,species,,,,,
751,4123,(unid. Red/Yellow Shafted) Northern Flicker,Pic flamboyant (groupe non identifié),Colaptes auratus,Piciformes,Picidae,Colaptes,auratus,Colaptes auratus,,,species,,,,,
752,4120,(Yellow-shafted Flicker) Northern Flicker,Pic flamboyant (groupe auratus),Colaptes auratus auratus,Piciformes,Picidae,Colaptes,auratus auratus,Colaptes auratus auratus,,,species,,,,,
753,4130,(Red-shafted Flicker) Northern Flicker,Pic flamboyant (groupe cafer),Colaptes auratus cafer,Piciformes,Picidae,Colaptes,auratus cafer,Colaptes auratus cafer,,,species,,,,,
754,4125,hybrid Northern Flicker (Red x Yellow-shafted),hybride Pic flamboyant (cafer x auratus),Colaptes auratus auratus x auratus cafer,Piciformes,Picidae,Colaptes,auratus auratus x auratus cafer,,,,species,,,,,
755,4140,Gilded Flicker,Pic chrysoïde,Colaptes chrysoides,Piciformes,Picidae,Colaptes,chrysoides,Colaptes chrysoides,,,species,,,,,
758,4050,Pileated Woodpecker,Grand Pic,Dryocopus pileatus,Piciformes,Picidae,Dryocopus,pileatus,Dryocopus pileatus,,,species,,,,,
759,3920,unid. Woodpecker,unid Pic sp.,Woodpecker sp.,Piciformes,Picidae,Woodpecker,sp.,,,,species,,,,,
765,3620,Crested Caracara,Caracara du Nord,Caracara cheriway,Falconiformes,Falconidae,Caracara,cheriway,Caracara cheriway,,,species,,,,,
767,3600,American Kestrel,Crécerelle d'Amérique,Falco sparverius,Falconiformes,Falconidae,Falco,sparverius,Falco sparverius,,,species,,,,,
769,3570,Merlin,Faucon émerillon,Falco columbarius,Falconiformes,Falconidae,Falco,columbarius,Falco columbarius,,,species,,,,,
771,3590,Aplomado Falcon,Faucon aplomado,Falco femoralis,Falconiformes,Falconidae,Falco,femoralis,Falco femoralis,,,species,,,,,
774,3540,Gyrfalcon,Faucon gerfaut,Falco rusticolus,Falconiformes,Falconidae,Falco,rusticolus,Falco rusticolus,,,species,,,,,
775,3560,Peregrine Falcon,Faucon pèlerin,Falco peregrinus,Falconiformes,Falconidae,Falco,peregrinus,Falco peregrinus,,,species,,,,,
776,3550,Prairie Falcon,Faucon des prairies,Falco mexicanus,Falconiformes,Falconidae,Falco,mexicanus,Falco mexicanus,,,species,,,,,
777,3824,Monk Parakeet,Conure veuve,Myiopsitta monachus,Psittaciformes,Psittacidae,Myiopsitta,monachus,Myiopsitta monachus,,,species,,,,,
780,51830,Nanday Parakeet,Conure nanday,Aratinga nenday,Psittaciformes,Psittacidae,Aratinga,nenday,Aratinga nenday,Nandayus nenday,,species,,,,,
794,52021,Yellow-chevroned Parakeet,Toui à ailes jaunes,Brotogeris chiriri,Psittaciformes,Psittacidae,Brotogeris,chiriri,Brotogeris chiriri,,,species,,,,,
795,3827,unid. White-winged / Yellow-chevroned Parakeet,Toui à ailes variées / Toui à ailes jaunes,Brotogeris versicolurus / chiriri,Psittaciformes,Psittacidae,Brotogeris,versicolurus / chiriri,,,,species,,,,,
800,3826,Red-crowned Parrot,Amazone à joues vertes,Amazona viridigenalis,Psittaciformes,Psittacidae,Amazona,viridigenalis,Amazona viridigenalis,,,species,,,,,
807,3823,Rose-ringed Parakeet,Perruche à collier,Psittacula krameri,Psittaciformes,Psittaculidae,Psittacula,krameri,Psittacula krameri,,,species,,,,,
809,3822,Budgerigar,Perruche ondulée,Melopsittacus undulatus,Psittaciformes,Psittaculidae,Melopsittacus,undulatus,Melopsittacus undulatus,,,species,,,,,
842,4720,Northern Beardless-Tyrannulet,Tyranneau imberbe,Camptostoma imberbe,Passeriformes,Tyrannidae,Camptostoma,imberbe,Camptostoma imberbe,,,species,,,,,
862,4590,Olive-sided Flycatcher,Moucherolle à côtés olive,Contopus cooperi,Passeriformes,Tyrannidae,Contopus,cooperi,Contopus cooperi,,,species,,,,,
863,4600,Greater Pewee,Moucherolle de Coues,Contopus pertinax,Passeriformes,Tyrannidae,Contopus,pertinax,Contopus pertinax,,,species,,,,,
864,4620,Western Wood-Pewee,Pioui de l'Ouest,Contopus sordidulus,Passeriformes,Tyrannidae,Contopus,sordidulus,Contopus sordidulus,,,species,,,,,
865,4610,Eastern Wood-Pewee,Pioui de l'Est,Contopus virens,Passeriformes,Tyrannidae,Contopus,virens,Contopus virens,,,species,,,,,
868,4630,Yellow-bellied Flycatcher,Moucherolle à ventre jaune,Empidonax flaviventris,Passeriformes,Tyrannidae,Empidonax,flaviventris,Empidonax flaviventris,,,species,,,,,
869,4650,Acadian Flycatcher,Moucherolle vert,Empidonax virescens,Passeriformes,Tyrannidae,Empidonax,virescens,Empidonax virescens,,,species,,,,,
870,4661,Alder Flycatcher,Moucherolle des aulnes,Empidonax alnorum,Passeriformes,Tyrannidae,Empidonax,alnorum,Empidonax alnorum,,,species,,,,,
871,4660,Willow Flycatcher,Moucherolle des saules,Empidonax traillii,Passeriformes,Tyrannidae,Empidonax,traillii,Empidonax traillii,,,species,,,,,
872,4665,unid. Alder Flycatcher / Willow Flycatcher,unid Moucherolle des aulnes / des saules,Empidonax alnorum / traillii,Passeriformes,Tyrannidae,Empidonax,alnorum / traillii,,,,species,,,,,
874,4670,Least Flycatcher,Moucherolle tchébec,Empidonax minimus,Passeriformes,Tyrannidae,Empidonax,minimus,Empidonax minimus,,,species,,,,,
875,4680,Hammond's Flycatcher,Moucherolle de Hammond,Empidonax hammondii,Passeriformes,Tyrannidae,Empidonax,hammondii,Empidonax hammondii,,,species,,,,,
876,4691,Gray Flycatcher,Moucherolle gris,Empidonax wrightii,Passeriformes,Tyrannidae,Empidonax,wrightii,Empidonax wrightii,,,species,,,,,
877,4690,Dusky Flycatcher,Moucherolle sombre,Empidonax oberholseri,Passeriformes,Tyrannidae,Empidonax,oberholseri,Empidonax oberholseri,,,species,,,,,
878,4689,unid. Hammond's Flycatcher / Dusky Flycatcher,unid Moucherolle Hammond's / Moucherolle Dusky,Empidonax hammondii / oberholseri,Passeriformes,Tyrannidae,Empidonax,hammondii / oberholseri,,,,species,,,,,
880,4641,Pacific-slope Flycatcher,Moucherolle côtier,Empidonax difficilis,Passeriformes,Tyrannidae,Empidonax,difficilis,Empidonax difficilis,,,species,,,,,
881,4640,Cordilleran Flycatcher,Moucherolle des ravins,Empidonax occidentalis,Passeriformes,Tyrannidae,Empidonax,occidentalis,Empidonax occidentalis,,,species,,,,,
882,4642,unid. Cordilleran / Pacific-slope Flycatcher,unid Moucherolle côtier / Moucherolle des ravins,Empidonax difficilis / occidentalis,Passeriformes,Tyrannidae,Empidonax,difficilis / occidentalis,,,,species,,,,,
884,4700,Buff-breasted Flycatcher,Moucherolle beige,Empidonax fulvifrons,Passeriformes,Tyrannidae,Empidonax,fulvifrons,Empidonax fulvifrons,,,species,,,,,
885,4679,unid. Empidonax Flycatcher,unid Empidonax sp.,Empidonax sp.,Passeriformes,Tyrannidae,Empidonax,sp.,Empidonax sp.,,,species,,,,,
886,4580,Black Phoebe,Moucherolle noir,Sayornis nigricans,Passeriformes,Tyrannidae,Sayornis,nigricans,Sayornis nigricans,,,species,,,,,
887,4560,Eastern Phoebe,Moucherolle phébi,Sayornis phoebe,Passeriformes,Tyrannidae,Sayornis,phoebe,Sayornis phoebe,,,species,,,,,
888,4570,Say's Phoebe,Moucherolle à ventre roux,Sayornis saya,Passeriformes,Tyrannidae,Sayornis,saya,Sayornis saya,,,species,,,,,
889,4710,Vermilion Flycatcher,Moucherolle vermillon,Pyrocephalus rubinus,Passeriformes,Tyrannidae,Pyrocephalus,rubinus,Pyrocephalus rubinus,,,species,,,,,
893,4550,Dusky-capped Flycatcher,Tyran olivâtre,Myiarchus tuberculifer,Passeriformes,Tyrannidae,Myiarchus,tuberculifer,Myiarchus tuberculifer,,,species,,,,,
894,4540,Ash-throated Flycatcher,Tyran à gorge cendrée,Myiarchus cinerascens,Passeriformes,Tyrannidae,Myiarchus,cinerascens,Myiarchus cinerascens,,,species,,,,,
896,4520,Great Crested Flycatcher,Tyran huppé,Myiarchus crinitus,Passeriformes,Tyrannidae,Myiarchus,crinitus,Myiarchus crinitus,,,species,,,,,
897,4530,Brown-crested Flycatcher,Tyran de Wied,Myiarchus tyrannulus,Passeriformes,Tyrannidae,Myiarchus,tyrannulus,Myiarchus tyrannulus,,,species,,,,,
900,4490,Great Kiskadee,Tyran quiquivi,Pitangus sulphuratus,Passeriformes,Tyrannidae,Pitangus,sulphuratus,Pitangus sulphuratus,,,species,,,,,
904,4510,Sulphur-bellied Flycatcher,Tyran tigré,Myiodynastes luteiventris,Passeriformes,Tyrannidae,Myiodynastes,luteiventris,Myiodynastes luteiventris,,,species,,,,,
908,4460,Tropical Kingbird,Tyran mélancolique,Tyrannus melancholicus,Passeriformes,Tyrannidae,Tyrannus,melancholicus,Tyrannus melancholicus,,,species,,,,,
909,4461,Couch's Kingbird,Tyran de Couch,Tyrannus couchii,Passeriformes,Tyrannidae,Tyrannus,couchii,Tyrannus couchii,,,species,,,,,
910,4462,unid. Tropical Kingbird / Couch's Kingbird,unid Tyran mélancolique / Tyran de Couch,Tyrannus melancholicus / couchii,Passeriformes,Tyrannidae,Tyrannus,melancholicus / couchii,,,,species,,,,,
911,4480,Cassin's Kingbird,Tyran de Cassin,Tyrannus vociferans,Passeriformes,Tyrannidae,Tyrannus,vociferans,Tyrannus vociferans,,,species,,,,,
912,4451,Thick-billed Kingbird,Tyran à bec épais,Tyrannus crassirostris,Passeriformes,Tyrannidae,Tyrannus,crassirostris,Tyrannus crassirostris,,,species,,,,,
913,4470,Western Kingbird,Tyran de l'Ouest,Tyrannus verticalis,Passeriformes,Tyrannidae,Tyrannus,verticalis,Tyrannus verticalis,,,species,,,,,
914,4440,Eastern Kingbird,Tyran tritri,Tyrannus tyrannus,Passeriformes,Tyrannidae,Tyrannus,tyrannus,Tyrannus tyrannus,,,species,,,,,
915,4450,Gray Kingbird,Tyran gris,Tyrannus dominicensis,Passeriformes,Tyrannidae,Tyrannus,dominicensis,Tyrannus dominicensis,,,species,,,,,
917,4447,unid. Cassin's Kingbird / Western Kingbird,unid Tyran de Cassin / Tyran de l'Ouest,Tyrannus vociferans / verticalis,Passeriformes,Tyrannidae,Tyrannus,vociferans / verticalis,,,,species,,,,,
918,4430,Scissor-tailed Flycatcher,Tyran à longue queue,Tyrannus forficatus,Passeriformes,Tyrannidae,Tyrannus,forficatus,Tyrannus forficatus,,,species,,,,,
919,4420,Fork-tailed Flycatcher,Tyran des savanes,Tyrannus savana,Passeriformes,Tyrannidae,Tyrannus,savana,Tyrannus savana,,,species,,,,,
934,6220,Loggerhead Shrike,Pie-grièche migratrice,Lanius ludovicianus,Passeriformes,Laniidae,Lanius,ludovicianus,Lanius ludovicianus,,,species,,,,,
935,6210,Northern Shrike,Pie-grièche grise,Lanius excubitor,Passeriformes,Laniidae,Lanius,excubitor,Lanius excubitor,,,species,,,,,
937,6310,White-eyed Vireo,Viréo aux yeux blancs,Vireo griseus,Passeriformes,Vireonidae,Vireo,griseus,Vireo griseus,,,species,,,,,
941,6330,Bell's Vireo,Viréo de Bell,Vireo bellii,Passeriformes,Vireonidae,Vireo,bellii,Vireo bellii,,,species,,,,,
942,6300,Black-capped Vireo,Viréo à tête noire,Vireo atricapilla,Passeriformes,Vireonidae,Vireo,atricapilla,Vireo atricapilla,,,species,,,,,
944,6340,Gray Vireo,Viréo gris,Vireo vicinior,Passeriformes,Vireonidae,Vireo,vicinior,Vireo vicinior,,,species,,,,,
945,6280,Yellow-throated Vireo,Viréo à gorge jaune,Vireo flavifrons,Passeriformes,Vireonidae,Vireo,flavifrons,Vireo flavifrons,,,species,,,,,
946,6292,Plumbeous Vireo,Viréo plombé,Vireo plumbeus,Passeriformes,Vireonidae,Vireo,plumbeus,Vireo plumbeus,,,species,,,,,
947,6291,Cassin's Vireo,Viréo de Cassin,Vireo cassinii,Passeriformes,Vireonidae,Vireo,cassinii,Vireo cassinii,,,species,,,,,
948,6290,Blue-headed Vireo,Viréo à tête bleue,Vireo solitarius,Passeriformes,Vireonidae,Vireo,solitarius,Vireo solitarius,,,species,,,,,
949,6296,unid. Plumbeous Vireo / Cassin's Vireo,unid Viréo plombé / Viréo de Cassin,Vireo plumbeus / solitarius,Passeriformes,Vireonidae,Vireo,plumbeus / solitarius,,,,species,,,,,
950,6295,unid. Cassin's Vireo / Blue-headed Vireo,unid Viréo de Cassin / Viréo à tête bleue,Vireo cassinii / solitarius,Passeriformes,Vireonidae,Vireo,cassinii / solitarius,,,,species,,,,,
951,6320,Hutton's Vireo,Viréo de Hutton,Vireo huttoni,Passeriformes,Vireonidae,Vireo,huttoni,Vireo huttoni,,,species,,,,,
953,6270,Warbling Vireo,Viréo mélodieux,Vireo gilvus,Passeriformes,Vireonidae,Vireo,gilvus,Vireo gilvus,,,species,,,,,
955,6260,Philadelphia Vireo,Viréo de Philadelphie,Vireo philadelphicus,Passeriformes,Vireonidae,Vireo,philadelphicus,Vireo philadelphicus,,,species,,,,,
956,6240,Red-eyed Vireo,Viréo aux yeux rouges,Vireo olivaceus,Passeriformes,Vireonidae,Vireo,olivaceus,Vireo olivaceus,,,species,,,,,
958,6230,Black-whiskered Vireo,Viréo à moustaches,Vireo altiloquus,Passeriformes,Vireonidae,Vireo,altiloquus,Vireo altiloquus,,,species,,,,,
965,4840,Gray Jay,Mésangeai du Canada,Perisoreus canadensis,Passeriformes,Corvidae,Perisoreus,canadensis,Perisoreus canadensis,,,species,,,,,
974,4830,Green Jay,Geai vert,Cyanocorax yncas,Passeriformes,Corvidae,Cyanocorax,yncas,Cyanocorax yncas,,,species,,,,,
978,4920,Pinyon Jay,Geai des pinèdes,Gymnorhinus cyanocephalus,Passeriformes,Corvidae,Gymnorhinus,cyanocephalus,Gymnorhinus cyanocephalus,,,species,,,,,
979,4780,Steller's Jay,Geai de Steller,Cyanocitta stelleri,Passeriformes,Corvidae,Cyanocitta,stelleri,Cyanocitta stelleri,,,species,,,,,
980,4770,Blue Jay,Geai bleu,Cyanocitta cristata,Passeriformes,Corvidae,Cyanocitta,cristata,Cyanocitta cristata,,,species,,,,,
981,4790,Florida Scrub-Jay,Geai à gorge blanche,Aphelocoma coerulescens,Passeriformes,Corvidae,Aphelocoma,coerulescens,Aphelocoma coerulescens,,,species,,,,,
982,4811,Island Scrub-Jay,Geai de Santa Cruz,Aphelocoma insularis,Passeriformes,Corvidae,Aphelocoma,insularis,Aphelocoma insularis,,,species,,,,,
983,4810,Western Scrub-Jay,Geai buissonnier,Aphelocoma californica,Passeriformes,Corvidae,Aphelocoma,californica,Aphelocoma californica,,,species,,,,,
985,4820,Mexican Jay,Geai du Mexique,Aphelocoma wollweberi,Passeriformes,Corvidae,Aphelocoma,wollweberi,Aphelocoma wollweberi,Aphelocoma ultramarina,,species,,,,,
987,4910,Clark's Nutcracker,Cassenoix d'Amérique,Nucifraga columbiana,Passeriformes,Corvidae,Nucifraga,columbiana,Nucifraga columbiana,,,species,,,,,
988,4750,Black-billed Magpie,Pie d'Amérique,Pica hudsonia,Passeriformes,Corvidae,Pica,hudsonia,Pica hudsonia,,,species,,,,,
989,4760,Yellow-billed Magpie,Pie à bec jaune,Pica nuttalli,Passeriformes,Corvidae,Pica,nuttalli,Pica nuttalli,,,species,,,,,
991,4880,American Crow,Corneille d'Amérique,Corvus brachyrhynchos,Passeriformes,Corvidae,Corvus,brachyrhynchos,Corvus brachyrhynchos,,,species,,,,,
992,4890,Northwestern Crow,Corneille d'Alaska,Corvus caurinus,Passeriformes,Corvidae,Corvus,caurinus,Corvus caurinus,,,species,,,,,
995,4900,Fish Crow,Corneille de rivage,Corvus ossifragus,Passeriformes,Corvidae,Corvus,ossifragus,Corvus ossifragus,,,species,,,,,
996,4881,unid. American Crow / Fish Crow,unid Corneille d'Amérique / Corneille de rivage,Corvus brachyrhynchos / ossifragus,Passeriformes,Corvidae,Corvus,brachyrhynchos / ossifragus,,,,species,,,,,
997,4882,unid. American Crow / Northwestern Crow,unid Corneille d'Amérique / Corneille d'Alaska,Corvus brachyrhynchos / caurinus,Passeriformes,Corvidae,Corvus,brachyrhynchos / caurinus,,,,species,,,,,
998,4870,Chihuahuan Raven,Corbeau à cou blanc,Corvus cryptoleucus,Passeriformes,Corvidae,Corvus,cryptoleucus,Corvus cryptoleucus,,,species,,,,,
999,4860,Common Raven,Grand Corbeau,Corvus corax,Passeriformes,Corvidae,Corvus,corax,Corvus corax,,,species,,,,,
1000,4865,unid. Chihuahuan Raven / Common Raven,unid Grand Corbeau / Corbeau à cou blanc,Corvus cryptoleucus / corax,Passeriformes,Corvidae,Corvus,cryptoleucus / corax,,,,species,,,,,
1001,4730,Sky Lark,Alouette des champs,Alauda arvensis,Passeriformes,Alaudidae,Alauda,arvensis,Alauda arvensis,,,species,,,,,
1002,4740,Horned Lark,Alouette hausse-col,Eremophila alpestris,Passeriformes,Alaudidae,Eremophila,alpestris,Eremophila alpestris,,,species,,,,,
1003,6110,Purple Martin,Hirondelle noire,Progne subis,Passeriformes,Hirundinidae,Progne,subis,Progne subis,,,species,,,,,
1009,6140,Tree Swallow,Hirondelle bicolore,Tachycineta bicolor,Passeriformes,Hirundinidae,Tachycineta,bicolor,Tachycineta bicolor,,,species,,,,,
1011,6150,Violet-green Swallow,Hirondelle à face blanche,Tachycineta thalassina,Passeriformes,Hirundinidae,Tachycineta,thalassina,Tachycineta thalassina,,,species,,,,,
1015,6170,Northern Rough-winged Swallow,Hirondelle à ailes hérissées,Stelgidopteryx serripennis,Passeriformes,Hirundinidae,Stelgidopteryx,serripennis,Stelgidopteryx serripennis,,,species,,,,,
1017,6160,Bank Swallow,Hirondelle de rivage,Riparia riparia,Passeriformes,Hirundinidae,Riparia,riparia,Riparia riparia,,,species,,,,,
1018,6120,Cliff Swallow,Hirondelle à front blanc,Petrochelidon pyrrhonota,Passeriformes,Hirundinidae,Petrochelidon,pyrrhonota,Petrochelidon pyrrhonota,,,species,,,,,
1019,6121,Cave Swallow,Hirondelle à front brun,Petrochelidon fulva,Passeriformes,Hirundinidae,Petrochelidon,fulva,Petrochelidon fulva,,,species,,,,,
1020,6122,unid. Cave Swallow / Cliff Swallow,unid Hirondelle à front blanc / à front brun,Petrochelidon pyrrhonota / fulva,Passeriformes,Hirundinidae,Petrochelidon,pyrrhonota / fulva,,,,species,,,,,
1021,6130,Barn Swallow,Hirondelle rustique,Hirundo rustica,Passeriformes,Hirundinidae,Hirundo,rustica,Hirundo rustica,,,species,,,,,
1022,6152,Common House-Martin,Hirondelle de fenêtre,Delichon urbicum,Passeriformes,Hirundinidae,Delichon,urbicum,Delichon urbicum,,,species,,,,,
1023,7360,Carolina Chickadee,Mésange de Caroline,Poecile carolinensis,Passeriformes,Paridae,Poecile,carolinensis,Poecile carolinensis,Parus carolinensis,,species,,,,,
1024,7350,Black-capped Chickadee,Mésange à tête noire,Poecile atricapillus,Passeriformes,Paridae,Poecile,atricapillus,Poecile atricapillus,Parus atricapillus,,species,,,,,
1025,7380,Mountain Chickadee,Mésange de Gambel,Poecile gambeli,Passeriformes,Paridae,Poecile,gambeli,Poecile gambeli,Parus gambeli,,species,,,,,
1026,7370,Mexican Chickadee,Mésange grise,Poecile sclateri,Passeriformes,Paridae,Poecile,sclateri,Poecile sclateri,Parus sclateri,,species,,,,,
1027,7410,Chestnut-backed Chickadee,Mésange à dos marron,Poecile rufescens,Passeriformes,Paridae,Poecile,rufescens,Poecile rufescens,Parus rufescens,,species,,,,,
1028,7400,Boreal Chickadee,Mésange à tête brune,Poecile hudsonicus,Passeriformes,Paridae,Poecile,hudsonicus,Poecile hudsonicus,Parus hudsonicus,,species,,,,,
1030,7352,unid. Carolina Chickadee / Black-capped Chickadee,unid Mésange de Caroline / Mésange à tête noire,Poecile carolinensis / atricapillus,Passeriformes,Paridae,Poecile,carolinensis / atricapillus,,,,species,,,,,
1031,7353,unid. Black-capped Chickadee / Mountain Chickadee,unid Mésange à tête noire / Mésange de Gambel,Poecile atricapillus / gambeli,Passeriformes,Paridae,Poecile,atricapillus / gambeli,,,,species,,,,,
1032,7354,unid. Black-capped Chickadee / Boreal Chickadee,unid Mésange à tête noire / Mésange à tête brune,Poecile atricapillus / hudsonicus,Passeriformes,Paridae,Poecile,atricapillus / hudsonicus,,,,species,,,,,
1033,7351,unid. western chickadee species,unid Mésange sp. de l'Ouest,Poecile sp.,Passeriformes,Paridae,Poecile,sp.,Poecile sp.,,,species,,,,,
1034,7340,Bridled Titmouse,Mésange arlequin,Baeolophus wollweberi,Passeriformes,Paridae,Baeolophus,wollweberi,Baeolophus wollweberi,,,species,,,,,
1035,7330,Oak Titmouse,Mésange unicolore,Baeolophus inornatus,Passeriformes,Paridae,Baeolophus,inornatus,Baeolophus inornatus,,,species,,,,,
1036,7331,Juniper Titmouse,Mésange des genévriers,Baeolophus ridgwayi,Passeriformes,Paridae,Baeolophus,ridgwayi,Baeolophus ridgwayi,,,species,,,,,
1037,7332,unid. Oak Titmouse / Juniper Titmouse,unid unid Mésange unicolore / Mésange des genévr,ie Baeolophus inornatus / ridgwayi,Passeriformes,Paridae,Baeolophus,inornatus / ridgwayi,,,,species,,,,,
