x
Gymnorhinus cyanocephalus
Sturnus vulgaris
Acridotheres cristatellus
Acridotheres tristis
Acridotheres javanicus
Gracula religiosa
Acridotheres fuscus
Dolichonyx oryzivorus
Molothrus ater
Molothrus aeneus
Molothrus bonariensis
Xanthocephalus xanthocephalus
Agelaius phoeniceus
Agelaius tricolor
Agelaius humeralis
Agelaius xanthomus
Sturnella magna
Sturnella neglecta
Icterus graduacauda
Icterus gularis
Icterus pectoralis
Icterus parisorum
Icterus wagleri
Icterus prosthemelas
Icterus melanopsis
Icterus northropi
Icterus portoricensis
Icterus dominicensis
Icterus cucullatus
Icterus pustulatus
Icterus spurius
Icterus galbula
Icterus bullockii
Euphagus carolinus
Euphagus cyanocephalus
Quiscalus quiscula
Quiscalus mexicanus
Quiscalus major
Quiscalus niger
Coccothraustes vespertinus
Fringilla montifringilla
Coccothraustes coccothraustes
Fringilla coelebs
Pinicola enucleator
Pyrrhula pyrrhula
Carpodacus erythrinus
Loxia curvirostra
Loxia leucoptera
Leucosticte tephrocotis
Leucosticte atrata
Leucosticte australis
Carduelis carduelis
Chloris sinica
Spinus cucullatus
Serinus canaria
Serinus mozambicus
Plectrophenax nivalis
Plectrophenax hyperboreus
Emberiza rustica
Emberiza pusilla
Emberiza variabilis
Emberiza pallasi
Emberiza schoeniclus
Calcarius lapponicus
Calcarius pictus
Calcarius ornatus
Pooecetes gramineus
Passerculus sandwichensis princeps
Passerculus sandwichensis
Passerculus sandwichensis beldingi
Passerculus sandwichensis rostratus
Ammodramus bairdii
Ammodramus savannarum
Ammodramus savannarum floridanus
Ammodramus henslowii
Ammodramus leconteii
Ammodramus caudacutus
Ammodramus nelsoni
Ammodramus maritimus
Ammodramus maritimus nigrescens
Ammodramus maritimus mirabilis
Chondestes grammacus
Zonotrichia querula
Zonotrichia leucophrys
Zonotrichia leucophrys leucophrys
Zonotrichia leucophrys oriantha
Zonotrichia leucophrys pugetensis
Zonotrichia leucophrys gambelii
Zonotrichia leucophrys nuttalli
Zonotrichia atricapilla
Zonotrichia albicollis
Zonotrichia capensis
Spizella arborea
Spizella passerina
Spizella pallida
Spizella breweri
Spizella pusilla
Spizella wortheni
Spizella atrogularis
Junco hyemalis aikeni
Junco hyemalis hyemalis
Junco hyemalis oreganus
Junco hyemalis
Junco hyemalis caniceps
Junco phaeonotus
Amphispiza bilineata
Artemisiospiza belli clementeae
Amphispiza quinquestriata
Aimophila ruficeps
Melospiza melodia
Melospiza lincolnii
Melospiza georgiana
Passerella iliaca
Arremonops rufivirgatus
Sicalis flaveola
Pipilo erythrophthalmus
Pipilo maculatus
Pipilo chlorurus
Melozone crissalis eremophilus
Paroaria coronata
Paroaria capitata
Cardinalis cardinalis
Cardinalis sinuatus
Pheucticus ludovicianus
Pheucticus melanocephalus
Pheucticus chrysopeplus
Passerina caerulea
Cyanocompsa parellina
Passerina cyanea
Passerina amoena
Passerina versicolor
Passerina ciris
Sporophila torqueola
Loxigilla portoricensis
Loxigilla noctis
Tiaris bicolor
Tiaris canorus
Tiaris olivaceus
Spiza americana
Calamospiza melanocorys
Euphonia musica
Piranga ludoviciana
Piranga bidentata
Piranga olivacea
Piranga flava
Piranga rubra
Spindalis zena
Nesospingus speculiferus
Spindalis dominicensis
Spindalis portoricensis
Spindalis nigricephala
Progne subis
Progne chalybea
Progne dominicensis
Petrochelidon pyrrhonota
Petrochelidon fulva
Hirundo rustica
Tachycineta bicolor
Tachycineta thalassina
Tachycineta cyaneoviridis
Riparia riparia
Stelgidopteryx serripennis
Bombycilla garrulus
Bombycilla cedrorum
Phainopepla nitens
Lanius excubitor
Lanius cristatus
Lanius ludovicianus
Moho braccatus
Moho bishopi
Zosterops japonicus
Lanius ludovicianus mearnsi
Vireo altiloquus
Vireo olivaceus
Vireo flavoviridis
Vireo philadelphicus
Vireo gilvus
Vireo flavifrons
Vireo solitarius
Vireo plumbeus
Vireo cassinii
Vireo atricapilla
Vireo griseus
Vireo huttoni
Vireo bellii
Vireo latimeri
Vireo bellii pusillus
Vireo vicinior
Coereba flaveola
Mniotilta varia
Protonotaria citrea
Limnothlypis swainsonii
Helmitheros vermivorum
Vermivora chrysoptera
Oreothlypis crissalis
Peucedramus taeniatus
Setophaga coronata coronata
Setophaga coronata auduboni
Setophaga angelae
Setophaga adelaidae
Setophaga subita
Setophaga delicata
Setophaga palmarum palmarum
Setophaga palmarum hypochrysea
Seiurus aurocapilla
Oporornis agilis
Geothlypis trichas
Geothlypis poliocephala
Icteria virens
Setophaga ruticilla
Myioborus pictus
Basileuterus lachrymosus
Passer domesticus
Passer montanus
Myioborus miniatus
Cardellina rubrifrons
Basileuterus culicivorus
Basileuterus rufifrons
Motacilla alba
Motacilla alba lugens
